=== Log started at 2025-12-09 09:15:03 ===
[2025-12-09 09:15:03] === Process started ===
[2025-12-09 09:15:03] Fetching JSON data from: https://api.housamo.xyz/housamo/unity/json/?file=/housamo/adv2024/Android/Android&mode=raw
[2025-12-09 09:16:02]  SKIPPED (no change): ikutoshi.chapter.asset
[2025-12-09 09:16:03]  SKIPPED (no change): island2017.chapter.asset
[2025-12-09 09:16:03]  SKIPPED (no change): jamboree2020.chapter.asset
[2025-12-09 09:16:04]  SKIPPED (no change): jiangshinight2019.chapter.asset
[2025-12-09 09:16:05]  SKIPPED (no change): jinn.chapter.asset
[2025-12-09 09:16:06]  SKIPPED (no change): jormungandr.chapter.asset
[2025-12-09 09:16:06]  SKIPPED (no change): joul.chapter.asset
[2025-12-09 09:16:07]  SKIPPED (no change): journey2018.chapter.asset
[2025-12-09 09:16:08]  SKIPPED (no change): jurassicsummer2023.chapter.asset
[2025-12-09 09:16:09]  SKIPPED (no change): kaiyou2017.chapter.asset
[2025-12-09 09:16:09]  SKIPPED (no change): kalki.chapter.asset
[2025-12-09 09:16:10]  SKIPPED (no change): kengo.chapter.asset
[2025-12-09 09:16:11]  SKIPPED (no change): kijimuna.chapter.asset
[2025-12-09 09:16:12]  SKIPPED (no change): kimunkamui.chapter.asset
[2025-12-09 09:16:12]  SKIPPED (no change): krampus.chapter.asset
[2025-12-09 09:16:13]  SKIPPED (no change): kresnik.chapter.asset
[2025-12-09 09:16:14]  SKIPPED (no change): kurogane.chapter.asset
[2025-12-09 09:16:14]  SKIPPED (no change): kyuuma.chapter.asset
[2025-12-09 09:16:15]  SKIPPED (no change): leib.chapter.asset
[2025-12-09 09:16:16]  SKIPPED (no change): lesson.chapter.asset
[2025-12-09 09:16:17]  SKIPPED (no change): licho.chapter.asset
[2025-12-09 09:16:17]  SKIPPED (no change): licht.chapter.asset
[2025-12-09 09:16:18]  SKIPPED (no change): lucifuge.chapter.asset
[2025-12-09 09:16:19]  SKIPPED (no change): magan.chapter.asset
[2025-12-09 09:16:19]  SKIPPED (no change): main1.chapter.asset
[2025-12-09 09:16:20]  SKIPPED (no change): main10.chapter.asset
[2025-12-09 09:16:21]  SKIPPED (no change): main11.chapter.asset
[2025-12-09 09:16:21]  SKIPPED (no change): main12.chapter.asset
[2025-12-09 09:16:22]  SKIPPED (no change): main13.chapter.asset
[2025-12-09 09:16:23]  SKIPPED (no change): main14.chapter.asset
[2025-12-09 09:16:23]  SKIPPED (no change): main15.chapter.asset
[2025-12-09 09:16:24]  SKIPPED (no change): main16.chapter.asset
[2025-12-09 09:16:24]  SKIPPED (no change): main2.chapter.asset
[2025-12-09 09:16:24]  SKIPPED (no change): main3.chapter.asset
[2025-12-09 09:16:25]  SKIPPED (no change): main4.chapter.asset
[2025-12-09 09:16:26]  SKIPPED (no change): main5.chapter.asset
[2025-12-09 09:16:27]  SKIPPED (no change): main6.chapter.asset
[2025-12-09 09:16:27]  SKIPPED (no change): main7.chapter.asset
[2025-12-09 09:16:28]  SKIPPED (no change): main8.chapter.asset
[2025-12-09 09:16:29]  SKIPPED (no change): main9.chapter.asset
[2025-12-09 09:16:29]  SKIPPED (no change): makara.chapter.asset
[2025-12-09 09:16:30]  SKIPPED (no change): managarmr.chapter.asset
[2025-12-09 09:16:31]  SKIPPED (no change): maria.chapter.asset
[2025-12-09 09:16:32]  SKIPPED (no change): marineresort2023.chapter.asset
[2025-12-09 09:16:32]  SKIPPED (no change): melusine.chapter.asset
[2025-12-09 09:16:33]  SKIPPED (no change): moritaka.chapter.asset
[2025-12-09 09:16:34]  SKIPPED (no change): motosumi.chapter.asset
[2025-12-09 09:16:35]  SKIPPED (no change): mountain2024.chapter.asset
[2025-12-09 09:16:35]  SKIPPED (no change): movietest.chapter.asset
[2025-12-09 09:16:36]  SKIPPED (no change): musashi.chapter.asset
[2025-12-09 09:16:37]  SKIPPED (no change): newyear2017.chapter.asset
[2025-12-09 09:16:37]  SKIPPED (no change): newyear2018.chapter.asset
[2025-12-09 09:16:38]  SKIPPED (no change): newyear2019.chapter.asset
[2025-12-09 09:16:39]  SKIPPED (no change): newyear2020.chapter.asset
[2025-12-09 09:16:40]  SKIPPED (no change): newyear2021.chapter.asset
[2025-12-09 09:16:40]  SKIPPED (no change): newyear2022.chapter.asset
[2025-12-09 09:16:41]  SKIPPED (no change): newyear2023.chapter.asset
[2025-12-09 09:16:42]  SKIPPED (no change): newyear2024.chapter.asset
[2025-12-09 09:16:43]  SKIPPED (no change): newyear2025.chapter.asset
[2025-12-09 09:16:43]  SKIPPED (no change): nightfestival2022.chapter.asset
[2025-12-09 09:16:44]  SKIPPED (no change): nightglows2021.chapter.asset
[2025-12-09 09:16:45]  SKIPPED (no change): nightmare2019.chapter.asset
[2025-12-09 09:16:46]  SKIPPED (no change): nobuharu.chapter.asset
[2025-12-09 09:16:46]  SKIPPED (no change): nomad.chapter.asset
[2025-12-09 09:16:47]  SKIPPED (no change): odyssey2025.chapter.asset
[2025-12-09 09:16:48]  SKIPPED (no change): oguchimagami.chapter.asset
[2025-12-09 09:16:48]  SKIPPED (no change): oniwaka.chapter.asset
[2025-12-09 09:16:49]  SKIPPED (no change): onsen2017.chapter.asset
[2025-12-09 09:16:50]  SKIPPED (no change): ophion.chapter.asset
[2025-12-09 09:16:51]  SKIPPED (no change): otohime.chapter.asset
[2025-12-09 09:16:51]  SKIPPED (no change): player.chapter.asset
[2025-12-09 09:16:52]  SKIPPED (no change): pollux.chapter.asset
[2025-12-09 09:16:53]  SKIPPED (no change): riku.chapter.asset
[2025-12-09 09:16:54]  SKIPPED (no change): rinkai.chapter.asset
[2025-12-09 09:16:54]  SKIPPED (no change): robinson.chapter.asset
[2025-12-09 09:16:55]  SKIPPED (no change): ryouta.chapter.asset
[2025-12-09 09:16:56]  SKIPPED (no change): sarutahiko.chapter.asset
[2025-12-09 09:16:57]  SKIPPED (no change): seth.chapter.asset
[2025-12-09 09:16:57]  SKIPPED (no change): setsubun2019.chapter.asset
[2025-12-09 09:16:58]  SKIPPED (no change): shennong.chapter.asset
[2025-12-09 09:16:59]  SKIPPED (no change): shino.chapter.asset
[2025-12-09 09:16:59]  SKIPPED (no change): shinya.chapter.asset
[2025-12-09 09:17:00]  SKIPPED (no change): shirou.chapter.asset
[2025-12-09 09:17:01]  SKIPPED (no change): shiva.chapter.asset
[2025-12-09 09:17:02]  SKIPPED (no change): shuten.chapter.asset
[2025-12-09 09:17:02]  SKIPPED (no change): sitri.chapter.asset
[2025-12-09 09:17:03]  SKIPPED (no change): snow.chapter.asset
[2025-12-09 09:17:04]  SKIPPED (no change): sportsfes2025.chapter.asset
[2025-12-09 09:17:05]  SKIPPED (no change): springcampaign2023.chapter.asset
[2025-12-09 09:17:05]  SKIPPED (no change): summerhost2024.chapter.asset
[2025-12-09 09:17:06]  SKIPPED (no change): summerpool2022.chapter.asset
[2025-12-09 09:17:07]  SKIPPED (no change): summerriver2021.chapter.asset
[2025-12-09 09:17:08]  SKIPPED (no change): surtr.chapter.asset
[2025-12-09 09:17:08]  SKIPPED (no change): tadatomo.chapter.asset
[2025-12-09 09:17:09]  SKIPPED (no change): tadikarao.chapter.asset
[2025-12-09 09:17:10]  SKIPPED (no change): takeminakata.chapter.asset
[2025-12-09 09:17:10]  SKIPPED (no change): tangaroa.chapter.asset
[2025-12-09 09:17:11]  SKIPPED (no change): taromaiti.chapter.asset
[2025-12-09 09:17:12]  SKIPPED (no change): taurus.chapter.asset
[2025-12-09 09:17:13]  SKIPPED (no change): temujin.chapter.asset
[2025-12-09 09:17:13]  SKIPPED (no change): testevent2021.chapter.asset
[2025-12-09 09:17:14]  SKIPPED (no change): tetsugyu.chapter.asset
